Campaign_ID,Date,Channel,Region,Segment,Spend_USD,Impressions,Clicks,CTR,Conversions,User_ID,Device,Source,Landing_Page,Gender,Group,First_Seen_Date,Conversion_Rate,CPC,CPA,Week,Month,Quarter
CAMPAIGN_6,2023-08-15,Email,North,Students,3774.6426062317823,40719.49580373206,6730.806181020025,0.15964258970389453,1127.3256819927462,25951de2-e1e1-43ab-b6f4-490266a21bf1,Desktop,Referral,Homepage,Female,B,2023-08-02,0.18081735369448187,0.6533943047772853,8.0366618782221,33,8,3
CAMPAIGN_10,2023-01-06,Display Ads,North,Students,7610.896365419544,10162.408938700477,0.0,0.03245029639265336,128.95038365290478,906ca06f-bdfc-40c2-a45d-b3983d5d82ac,Desktop,Paid,Signup Page,Male,A,2022-12-22,0.22458612778372047,13.710921500679031,61.53652604273728,1,1,1
CAMPAIGN_6,2023-10-16,Social Media,East,Retirees,8938.235613547751,15883.220539116748,1107.5678623795418,0.07802415705386685,252.92493876363983,7b8639e6-037b-436c-a29c-7a9d83782f64,Tablet,Organic,Signup Page,Other,A,2023-10-16,0.2053241399469607,0.3988490865281387,0.0,42,10,4
CAMPAIGN_4,2023-06-11,Search,West,Retirees,2493.8908436901356,17877.64276715565,851.6231002753682,0.037078373394599254,24.629183735144682,6889a4e0-ade7-4552-8bc3-93b578838701,Desktop,Referral,Promo Page,Male,B,2023-06-10,0.06424426866094539,3.1948101284065777,59.6008772074803,23,6,2
CAMPAIGN_6,2023-08-09,Social Media,West,Retirees,0.0,86503.67704562432,16754.856151667933,0.19274484171191816,3087.8965200032912,11d1bb54-68e1-441d-9fae-e5adf3bd939f,Mobile,Paid,Homepage,Other,A,2023-08-09,0.1780993474596583,0.12211011456782973,0.0,32,8,3
CAMPAIGN_3,2023-07-14,Display Ads,North,Young Adults,0.0,11904.393023207413,899.5921460596785,0.06407116427606163,142.68138816706764,1a23ee0c-5610-4ebc-b10c-78cdc088a716,Mobile,Organic,Signup Page,Female,A,2023-07-13,0.1167652924519444,3.873849279150217,42.109085344593666,28,7,3
CAMPAIGN_3,2023-10-08,Display Ads,East,Students,6137.892322719135,29672.82535743468,2424.9663662545613,0.0743724818961047,115.516617081371,53e35777-e72f-4813-be3e-883d210f01d7,Desktop,Paid,Homepage,Other,A,2023-09-30,0.09048785330316997,2.9228748686072414,26.2493906426586,40,10,4
CAMPAIGN_10,2023-09-30,Social Media,North,Young Adults,1571.7246653549987,77988.53840991651,9270.632354340805,0.11470119123402696,894.5181444530036,52d9c472-c370-47fb-a03a-721e30c00123,Desktop,Organic,Signup Page,Other,B,2023-09-17,0.0958331246167008,0.04138549050185136,7.886193080481849,39,9,3
CAMPAIGN_6,2023-12-29,Email,North,Students,8868.193597629945,41255.37627065333,6410.65637779471,0.16256586621886154,1132.8533074795016,25951de2-e1e1-43ab-b6f4-490266a21bf1,Desktop,Referral,Homepage,Female,B,2023-12-24,0.17570822513889334,0.5305500824446423,0.0,52,12,4
CAMPAIGN_7,2023-03-13,SMS,West,Students,7235.253936511206,68452.19587504196,3905.6664799099917,0.06445040620053233,114.74316349375945,f1fa76be-fcf8-485f-81b2-8e1564bce96b,Desktop,Organic,Promo Page,Other,A,2023-02-12,0.03543293654966688,0.7021302331615416,9.55602156186832,11,3,1
